features_id,bedrooms,squareFootage,features,bathrooms,lotSize
25,3.0,1156.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick / Stone', 'floorCount': 1, 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'roomCount': 6, 'unitCount': 1}",3.0,7187.0
26,3.0,2438.0,Unknown,3.0,0.0
27,4.0,2782.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'fireplaceType': 'Prefab', 'floorCount': 2, 'foundationType': 'Crawl / Raised', 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Steam', 'roofType': 'Asphalt', 'unitCount': 1}",2.5,22651.0
28,3.0,3220.0,"{'cooling': True, 'coolingType': 'Partial', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Stone', 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Hot Water', 'roofType': 'Metal', 'roomCount': 8, 'unitCount': 2}",1.0,8276.0
29,2.0,942.0,"{'architectureType': 'Ranch', 'exteriorType': 'Metal', 'floorCount': 1, 'foundationType': 'Concrete', 'garage': True, 'garageSpaces': 1, 'garageType': 'Detached', 'roofType': 'Asphalt', 'roomCount': 4, 'unitCount': 1}",1.0,4500.0
30,3.0,1391.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Commercial', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roomCount': 9, 'unitCount': 1}",2.0,7688.0
31,3.0,1906.0,Unknown,1.5,2526.0
32,0.0,2109.0,"{'cooling': True, 'coolingType': 'Refrigeration', 'exteriorType': 'Wood', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Gravity', 'roofType': 'Other', 'unitCount': 1}",3.0,6421.0
33,5.0,3465.0,Unknown,3.5,19602.0
34,3.0,1402.0,"{'exteriorType': 'OTHER', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Raised', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 5, 'unitCount': 1}",2.0,9583.0
35,3.0,2246.0,"{'architectureType': 'Ranch / Rambler', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'roofType': 'Asphalt', 'unitCount': 1}",2.0,22410.0
36,4.0,2338.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'pool': True, 'roofType': 'Composition Shingle', 'unitCount': 1}",2.0,8115.0
37,3.0,1084.0,"{'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Floor / Wall', 'unitCount': 1, 'cooling': True, 'coolingType': 'Commercial'}",2.0,4791.0
